Regions,Transcription Factors,Properties
seq1311_[chr6:15895241-15895411],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq1311_[chr6:15895241-15895411],ELF1_Fimo_hg19_7,Induction/activity_at_TP_48h
seq1311_[chr6:15895241-15895411],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq1311_[chr6:15895241-15895411],SOX5_Fimo_ENCODE_1,
seq1311_[chr6:15895241-15895411],SOX21_Fimo_ENCODE_3,
seq1311_[chr6:15895241-15895411],BCL11B_Fimo_hg19_1,
seq1311_[chr6:15895241-15895411],YY2_Fimo_hg19_10,
seq1311_[chr6:15895241-15895411],SP8_Fimo_ENCODE_1,
seq1311_[chr6:15895241-15895411],RXRA_Fimo_ENCODE_2,
seq1311_[chr6:15895241-15895411],REST_Fimo_ENCODE_8,
seq1311_[chr6:15895241-15895411],ETV5_Fimo_hg19_31,
seq1311_[chr6:15895241-15895411],REST_Fimo_ENCODE_9,
seq1311_[chr6:15895241-15895411],TCF12_Fimo_ENCODE_5,
seq1311_[chr6:15895241-15895411],TCF12_Fimo_ENCODE_7,
seq1964_[chr5:58295687-58295857],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq1964_[chr5:58295687-58295857],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq1964_[chr5:58295687-58295857],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq1964_[chr5:58295687-58295857],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_12h
seq1964_[chr5:58295687-58295857],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1964_[chr5:58295687-58295857],,Induction/activity_at_TP_24h
seq1039_[chr22:39610563-39610733],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq1039_[chr22:39610563-39610733],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq1039_[chr22:39610563-39610733],GLI1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq1039_[chr22:39610563-39610733],ZIC2_Fimo_ENCODE_1,pathway_hsa04010
seq1039_[chr22:39610563-39610733],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq1039_[chr22:39610563-39610733],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq1039_[chr22:39610563-39610733],GLI1_Fimo_hg19_11,
seq1039_[chr22:39610563-39610733],TCF12_Fimo_ENCODE_5,
seq1039_[chr22:39610563-39610733],GLI2_Fimo_ENCODE_1,
seq401_[chr12:95945211-95945381],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq401_[chr12:95945211-95945381],LHX5_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq401_[chr12:95945211-95945381],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_3
seq401_[chr12:95945211-95945381],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_1
seq401_[chr12:95945211-95945381],,Induction/activity_at_TP_48h
seq1266_[chr5:129060420-129060590],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq1266_[chr5:129060420-129060590],ZIC2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq1266_[chr5:129060420-129060590],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq1266_[chr5:129060420-129060590],ZIC2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq1266_[chr5:129060420-129060590],GLIS2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq1266_[chr5:129060420-129060590],REST_Fimo_ENCODE_8,
seq1266_[chr5:129060420-129060590],REST_Fimo_ENCODE_9,
seq1432_[chr7:75793253-75793423],NR2F2_Fimo_hg19_22,Induction/activity_at_TP_72h
seq1432_[chr7:75793253-75793423],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq1432_[chr7:75793253-75793423],E2F4_Fimo_hg19_6,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq1432_[chr7:75793253-75793423],HOMEZ_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1432_[chr7:75793253-75793423],CR936877.3_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq1432_[chr7:75793253-75793423],REST_Fimo_ENCODE_9,
seq776_[chr19:3968792-3968962],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq776_[chr19:3968792-3968962],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq776_[chr19:3968792-3968962],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq776_[chr19:3968792-3968962],E2F4_Fimo_hg19_6,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq776_[chr19:3968792-3968962],OTX2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq776_[chr19:3968792-3968962],REST_Fimo_ENCODE_9,Induction/activity_at_TP_24h
seq776_[chr19:3968792-3968962],DMBX1_Fimo_hg19_10,
seq776_[chr19:3968792-3968962],POU3F2_Fimo_ENCODE_6,
seq776_[chr19:3968792-3968962],TCF12_Fimo_ENCODE_7,
seq1774_[chr15:39959593-39959763],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq1774_[chr15:39959593-39959763],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq1774_[chr15:39959593-39959763],POU3F2_Fimo_ENCODE_6,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq1774_[chr15:39959593-39959763],HOMEZ_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq1774_[chr15:39959593-39959763],,Induction/activity_at_TP_48h
seq321_[chr11:102068532-102068702],CR936877.3_Fimo_hg19_22,Induction/activity_at_TP_72h
seq321_[chr11:102068532-102068702],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq321_[chr11:102068532-102068702],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq321_[chr11:102068532-102068702],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq321_[chr11:102068532-102068702],E2F4_Fimo_hg19_6,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq63_[chr1:43432875-43433045],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq63_[chr1:43432875-43433045],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq63_[chr1:43432875-43433045],E2F4_Fimo_hg19_6,Induction/activity_at_TP_12h
seq63_[chr1:43432875-43433045],TFAP2_Fimo_ENCODE_10,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq63_[chr1:43432875-43433045],LHX5_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq63_[chr1:43432875-43433045],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_24h
seq63_[chr1:43432875-43433045],TCF12_Fimo_ENCODE_7,
seq1282_[chr5:147254685-147254855],SOX9_Fimo_hg19_27,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq1282_[chr5:147254685-147254855],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq1282_[chr5:147254685-147254855],LMX1A_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1282_[chr5:147254685-147254855],SOX10_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq1282_[chr5:147254685-147254855],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq1340_[chr6:90193123-90193293],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1340_[chr6:90193123-90193293],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_3
seq1340_[chr6:90193123-90193293],ELF1_Fimo_hg19_7,pathway_hsa04150
seq1340_[chr6:90193123-90193293],RXRA_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq1340_[chr6:90193123-90193293],REST_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq1340_[chr6:90193123-90193293],REST_Fimo_ENCODE_9,Induction/activity_at_TP_24h
seq1340_[chr6:90193123-90193293],TCF12_Fimo_ENCODE_7,
seq1196_[chr4:184026378-184026548],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1196_[chr4:184026378-184026548],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq1196_[chr4:184026378-184026548],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq1196_[chr4:184026378-184026548],USF1_Fimo_hg19_9,Induction/activity_at_TP_12h
seq1196_[chr4:184026378-184026548],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq1196_[chr4:184026378-184026548],PAX6_Fimo_hg19_3,Induction/activity_at_TP_24h
seq1196_[chr4:184026378-184026548],TCF12_Fimo_ENCODE_5,
seq1196_[chr4:184026378-184026548],FOXJ2_Fimo_ENCODE_1,
seq1927_[chr3:64624784-64624954],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_0h
seq1927_[chr3:64624784-64624954],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq1927_[chr3:64624784-64624954],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq1927_[chr3:64624784-64624954],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_6h
seq1927_[chr3:64624784-64624954],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
seq1927_[chr3:64624784-64624954],LMX1A_Fimo_hg19_1,Induction/activity_at_TP_12h
seq1927_[chr3:64624784-64624954],REST_Fimo_ENCODE_8,Induction/activity_at_TP_3h
seq1927_[chr3:64624784-64624954],REST_Fimo_ENCODE_9,
seq1927_[chr3:64624784-64624954],TCF12_Fimo_ENCODE_5,
seq1060_[chr3:33619186-33619356],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1060_[chr3:33619186-33619356],TCF7L2_Fimo_ENCODE_4,Induction/activity_at_TP_6h
seq1060_[chr3:33619186-33619356],REST_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq1060_[chr3:33619186-33619356],SOX9_Fimo_hg19_27,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq1060_[chr3:33619186-33619356],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq1060_[chr3:33619186-33619356],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq1060_[chr3:33619186-33619356],CR936877.3_Fimo_hg19_22,Induction/activity_at_TP_3h
seq1060_[chr3:33619186-33619356],ZIC5_Fimo_hg19_1,
seq1060_[chr3:33619186-33619356],TCF12_Fimo_ENCODE_5,
seq1060_[chr3:33619186-33619356],SOX10_Fimo_ENCODE_8,
seq2234_[chr10:74033439-74033609],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq2234_[chr10:74033439-74033609],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq2234_[chr10:74033439-74033609],JUN_Fimo_hg19_11,Induction/activity_at_TP_6h
seq2234_[chr10:74033439-74033609],SOX1_Fimo_hg19_3,Induction/activity_at_TP_0h
seq2234_[chr10:74033439-74033609],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq2234_[chr10:74033439-74033609],,Induction/activity_at_TP_12h
seq2234_[chr10:74033439-74033609],,Induction/activity_at_TP_3h
seq2234_[chr10:74033439-74033609],,pathway_hsa04150
seq1219_[chr5:14036238-14036408],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1219_[chr5:14036238-14036408],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq1219_[chr5:14036238-14036408],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq1219_[chr5:14036238-14036408],REST_Fimo_ENCODE_8,Induction/activity_at_TP_12h
seq1219_[chr5:14036238-14036408],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1219_[chr5:14036238-14036408],PTEN_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq487_[chr14:54209002-54209172],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq487_[chr14:54209002-54209172],GLI1_Fimo_hg19_3,Induction/activity_at_TP_48h
seq487_[chr14:54209002-54209172],MZF1_Fimo_ENCODE_1,Induction/activity_at_TP_72h
seq487_[chr14:54209002-54209172],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq487_[chr14:54209002-54209172],TFAP2_Fimo_ENCODE_10,pathway_hsa04340
seq487_[chr14:54209002-54209172],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq487_[chr14:54209002-54209172],SP8_Fimo_ENCODE_1,
seq487_[chr14:54209002-54209172],RXRA_Fimo_ENCODE_2,
seq487_[chr14:54209002-54209172],GLIS2_Fimo_ENCODE_1,
seq487_[chr14:54209002-54209172],ETV5_Fimo_hg19_31,
seq487_[chr14:54209002-54209172],REST_Fimo_ENCODE_9,
seq487_[chr14:54209002-54209172],GLI1_Fimo_hg19_11,
seq487_[chr14:54209002-54209172],TCF12_Fimo_ENCODE_5,
seq236_[chr10:126158599-126158769],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq236_[chr10:126158599-126158769],YY2_Fimo_hg19_9,Induction/activity_at_TP_24h
seq236_[chr10:126158599-126158769],YY2_Fimo_hg19_10,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_3
seq236_[chr10:126158599-126158769],NFAT_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq236_[chr10:126158599-126158769],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1485_[chr7:151167884-151168054],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq1485_[chr7:151167884-151168054],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq1485_[chr7:151167884-151168054],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_12h
seq1485_[chr7:151167884-151168054],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq1485_[chr7:151167884-151168054],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq1485_[chr7:151167884-151168054],REST_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq1485_[chr7:151167884-151168054],POU3F2_Fimo_ENCODE_6,pathway_hsa04150
seq1485_[chr7:151167884-151168054],TCF12_Fimo_ENCODE_7,
seq51_[chr1:33808005-33808175],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq51_[chr1:33808005-33808175],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq51_[chr1:33808005-33808175],YY2_Fimo_hg19_10,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq51_[chr1:33808005-33808175],REST_Fimo_ENCODE_8,Induction/activity_at_TP_12h
seq51_[chr1:33808005-33808175],REST_Fimo_ENCODE_9,Induction/activity_at_TP_48h
seq51_[chr1:33808005-33808175],HIF1A_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq51_[chr1:33808005-33808175],PAX6_Fimo_hg19_3,
seq2166_[chr9:126773515-126773685],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq2166_[chr9:126773515-126773685],SOX1_Fimo_hg19_3,hand_picked_TFs
seq2166_[chr9:126773515-126773685],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq2166_[chr9:126773515-126773685],ELF1_Fimo_hg19_7,Induction/activity_at_TP_6h
seq2166_[chr9:126773515-126773685],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq2166_[chr9:126773515-126773685],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq2166_[chr9:126773515-126773685],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_12h
seq2166_[chr9:126773515-126773685],PKNOX2_Fimo_hg19_5,Induction/activity_at_TP_3h
seq2166_[chr9:126773515-126773685],ETV5_Fimo_hg19_31,
seq2166_[chr9:126773515-126773685],MEIS3_Fimo_ENCODE_1,
seq1359_[chr6:126070571-126070741],FOXB1_Fimo_ENCODE_4,Induction/activity_at_TP_72h
seq1359_[chr6:126070571-126070741],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq1359_[chr6:126070571-126070741],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq1359_[chr6:126070571-126070741],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq1359_[chr6:126070571-126070741],FOXJ2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq1359_[chr6:126070571-126070741],BCL11B_Fimo_hg19_1,
seq1359_[chr6:126070571-126070741],POU3F2_Fimo_ENCODE_6,
controls_seq55_[chr3:147652769-147652939],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
controls_seq55_[chr3:147652769-147652939],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
controls_seq55_[chr3:147652769-147652939],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
controls_seq55_[chr3:147652769-147652939],,Induction/activity_at_TP_6h
controls_seq55_[chr3:147652769-147652939],,Induction/activity_at_TP_0h
controls_seq55_[chr3:147652769-147652939],,Induction/activity_at_TP_12h
controls_seq55_[chr3:147652769-147652939],,Induction/activity_at_TP_3h
seq297_[chr11:67203946-67204116],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq297_[chr11:67203946-67204116],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq297_[chr11:67203946-67204116],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq297_[chr11:67203946-67204116],MZF1_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq297_[chr11:67203946-67204116],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_48h
seq297_[chr11:67203946-67204116],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_24h
seq297_[chr11:67203946-67204116],LHX5_Fimo_ENCODE_1,
seq297_[chr11:67203946-67204116],LMX1A_Fimo_hg19_1,
seq297_[chr11:67203946-67204116],SP8_Fimo_ENCODE_1,
seq297_[chr11:67203946-67204116],GLIS2_Fimo_ENCODE_1,
seq297_[chr11:67203946-67204116],OTX2_Fimo_ENCODE_1,
seq297_[chr11:67203946-67204116],DMBX1_Fimo_hg19_10,
controls_seq162_[chr8:128822479-128822649],NFE2L2_Fimo_ENCODE_1,Induction/activity_at_TP_12h
controls_seq162_[chr8:128822479-128822649],SOX1_Fimo_hg19_3,pathway_hsa04310
controls_seq162_[chr8:128822479-128822649],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
controls_seq162_[chr8:128822479-128822649],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
controls_seq162_[chr8:128822479-128822649],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
controls_seq162_[chr8:128822479-128822649],IRX3_Fimo_hg19_7,pathway_hsa04010
controls_seq162_[chr8:128822479-128822649],DMBX1_Fimo_hg19_10,Induction/activity_at_TP_48h
controls_seq162_[chr8:128822479-128822649],,Induction/activity_at_TP_24h
controls_seq46_[chr2:174989094-174989264],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_72h
controls_seq46_[chr2:174989094-174989264],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
controls_seq46_[chr2:174989094-174989264],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
controls_seq46_[chr2:174989094-174989264],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
controls_seq46_[chr2:174989094-174989264],,Induction/activity_at_TP_48h
seq1061_[chr3:45726102-45726272],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq1061_[chr3:45726102-45726272],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1061_[chr3:45726102-45726272],PAX6_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq1061_[chr3:45726102-45726272],,Induction/activity_at_TP_12h
seq1061_[chr3:45726102-45726272],,Induction/activity_at_TP_48h
seq1061_[chr3:45726102-45726272],,Induction/activity_at_TP_24h
seq2147_[chr9:126763605-126763775],HIF1A_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq2147_[chr9:126763605-126763775],SOX1_Fimo_hg19_3,hand_picked_TFs
seq2147_[chr9:126763605-126763775],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq2147_[chr9:126763605-126763775],,Induction/activity_at_TP_12h
seq2147_[chr9:126763605-126763775],,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq2147_[chr9:126763605-126763775],,Induction/activity_at_TP_48h
seq2147_[chr9:126763605-126763775],,Induction/activity_at_TP_24h
seq1767_[chr14:96494017-96494187],SOX1_Fimo_hg19_3,Induction/activity_at_TP_12h
seq1767_[chr14:96494017-96494187],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq1767_[chr14:96494017-96494187],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq1767_[chr14:96494017-96494187],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq1767_[chr14:96494017-96494187],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1767_[chr14:96494017-96494187],ATF3_Fimo_hg19_1,Induction/activity_at_TP_24h
