Properties,Transcription Factors,Regions
Induction/activity_at_TP_3h,,controls_seq75_[chr6:23180868-23181038]
Induction/activity_at_TP_3h,,seq1927_[chr3:64624784-64624954]
Induction/activity_at_TP_3h,,seq1886_[chr20:10618280-10618450]
Induction/activity_at_TP_3h,,seq183_[chr10:43312452-43312622]
Induction/activity_at_TP_3h,,seq1240_[chr5:72783756-72783926]
Induction/activity_at_TP_3h,,seq217_[chr10:98105168-98105338]
Induction/activity_at_TP_3h,,seq1060_[chr3:33619186-33619356]
Induction/activity_at_TP_3h,,seq732_[chr18:6752629-6752799]
Induction/activity_at_TP_3h,,seq2229_[chr10:74008393-74008563]
Induction/activity_at_TP_3h,,seq2305_[chr9:117068145-117068315]
Induction/activity_at_TP_3h,,seq1559_[chr9:73035377-73035547]
Induction/activity_at_TP_3h,,seq2234_[chr10:74033439-74033609]
Induction/activity_at_TP_3h,,seq1516_[chr8:104663261-104663431]
Induction/activity_at_TP_3h,,seq1400_[chr7:13875076-13875246]
Induction/activity_at_TP_3h,,seq626_[chr16:52299381-52299551]
Induction/activity_at_TP_3h,,seq1542_[chr9:16768932-16769102]
Induction/activity_at_TP_3h,,seq1429_[chr7:73509281-73509451]
Induction/activity_at_TP_3h,,controls_seq174_[chr6:31126527-31126697]
Induction/activity_at_TP_3h,,seq497_[chr14:68400983-68401153]
Induction/activity_at_TP_3h,,seq792_[chr19:17246400-17246570]
Induction/activity_at_TP_3h,,seq2020_[chr8:13214951-13215121]
Induction/activity_at_TP_3h,,seq350_[chr12:8962852-8963022]
Induction/activity_at_TP_6h,NFE2L2_Fimo_ENCODE_1,controls_seq8_[chr10:102245394-102245564]
Induction/activity_at_TP_6h,NFKB2_Fimo_hg19_2,seq374_[chr12:49380487-49380657]
Induction/activity_at_TP_6h,SOX2_Fimo_ENCODE_1,seq1175_[chr4:125380900-125381070]
Induction/activity_at_TP_6h,ELF1_Fimo_hg19_7,seq680_[chr17:42633937-42634107]
Induction/activity_at_TP_6h,REST_Fimo_ENCODE_8,seq793_[chr19:18365973-18366143]
Induction/activity_at_TP_6h,SOX21_Fimo_ENCODE_3,seq2272_[chr2:211627649-211627819]
Induction/activity_at_TP_6h,USF1_Fimo_hg19_9,seq2053_[chr9:108438869-108439039]
Induction/activity_at_TP_6h,TCF12_Fimo_ENCODE_7,seq1512_[chr8:93107646-93107816]
Induction/activity_at_TP_6h,TFCP2L1_Fimo_ENCODE_1,seq1937_[chr3:155432158-155432328]
Induction/activity_at_TP_6h,REST_Fimo_ENCODE_9,seq1501_[chr8:50005334-50005504]
Induction/activity_at_TP_6h,ETV5_Fimo_hg19_31,seq1163_[chr4:91119425-91119595]
Induction/activity_at_TP_6h,HIF1A_Fimo_ENCODE_1,seq904_[chr2:157487561-157487731]
Induction/activity_at_TP_6h,HIF1A_Fimo_ENCODE_2,seq2166_[chr9:126773515-126773685]
Induction/activity_at_TP_6h,TCF12_Fimo_ENCODE_5,controls_seq55_[chr3:147652769-147652939]
Induction/activity_at_TP_6h,PTEN_Fimo_ENCODE_1,seq867_[chr2:70995246-70995416]
Induction/activity_at_TP_6h,PRDM4_Fimo_ENCODE_1,seq1900_[chr20:46433296-46433466]
Induction/activity_at_TP_6h,,seq154_[chr1:228110602-228110772]
Induction/activity_at_TP_6h,,seq1430_[chr7:73693981-73694151]
Induction/activity_at_TP_6h,,seq1048_[chr22:46241068-46241238]
Induction/activity_at_TP_6h,,seq125_[chr1:178235935-178236105]
Induction/activity_at_TP_6h,,seq1570_[chr9:94647461-94647631]
Induction/activity_at_TP_6h,,seq307_[chr11:77184409-77184579]
Induction/activity_at_TP_6h,,seq155_[chr1:228871123-228871293]
Induction/activity_at_TP_6h,,seq1556_[chr9:71487184-71487354]
Induction/activity_at_TP_6h,,seq1618_[chrX:130611512-130611682]
Induction/activity_at_TP_6h,,seq203_[chr10:77842878-77843048]
Induction/activity_at_TP_6h,,seq1911_[chr22:26790853-26791023]
Induction/activity_at_TP_6h,,controls_seq49_[chr21:34291162-34291332]
Induction/activity_at_TP_6h,,seq1385_[chr7:2539826-2539996]
Induction/activity_at_TP_6h,,controls_seq75_[chr6:23180868-23181038]
Induction/activity_at_TP_6h,,seq1927_[chr3:64624784-64624954]
Induction/activity_at_TP_6h,,seq1886_[chr20:10618280-10618450]
Induction/activity_at_TP_6h,,seq183_[chr10:43312452-43312622]
Induction/activity_at_TP_6h,,seq1240_[chr5:72783756-72783926]
Induction/activity_at_TP_6h,,seq217_[chr10:98105168-98105338]
Induction/activity_at_TP_6h,,seq1060_[chr3:33619186-33619356]
Induction/activity_at_TP_6h,,seq732_[chr18:6752629-6752799]
Induction/activity_at_TP_6h,,seq2229_[chr10:74008393-74008563]
Induction/activity_at_TP_6h,,seq2305_[chr9:117068145-117068315]
Induction/activity_at_TP_6h,,seq1559_[chr9:73035377-73035547]
Induction/activity_at_TP_6h,,seq2234_[chr10:74033439-74033609]
Induction/activity_at_TP_6h,,seq1516_[chr8:104663261-104663431]
Induction/activity_at_TP_6h,,seq1400_[chr7:13875076-13875246]
Induction/activity_at_TP_6h,,seq626_[chr16:52299381-52299551]
Induction/activity_at_TP_6h,,seq1542_[chr9:16768932-16769102]
Induction/activity_at_TP_6h,,seq1429_[chr7:73509281-73509451]
Induction/activity_at_TP_6h,,controls_seq174_[chr6:31126527-31126697]
Induction/activity_at_TP_6h,,seq497_[chr14:68400983-68401153]
Induction/activity_at_TP_6h,,seq792_[chr19:17246400-17246570]
Induction/activity_at_TP_6h,,seq2020_[chr8:13214951-13215121]
Induction/activity_at_TP_6h,,seq350_[chr12:8962852-8963022]
Induction/activity_at_TP_12h,ZIC3_Fimo_ENCODE_3,seq374_[chr12:49380487-49380657]
Induction/activity_at_TP_12h,FOXB1_Fimo_ENCODE_4,seq1175_[chr4:125380900-125381070]
Induction/activity_at_TP_12h,MEIS2_Fimo_ENCODE_2,seq793_[chr19:18365973-18366143]
Induction/activity_at_TP_12h,POU3F1_Fimo_ENCODE_2,seq2053_[chr9:108438869-108439039]
Induction/activity_at_TP_12h,GLI1_Fimo_hg19_3,seq161_[chr1:233431342-233431512]
Induction/activity_at_TP_12h,LHX5_Fimo_ENCODE_1,seq297_[chr11:67203946-67204116]
Induction/activity_at_TP_12h,HOMEZ_Fimo_hg19_1,seq1900_[chr20:46433296-46433466]
Induction/activity_at_TP_12h,SOX21_Fimo_ENCODE_3,seq842_[chr2:42274000-42274170]
Induction/activity_at_TP_12h,SNAI3_Fimo_hg19_1,controls_seq162_[chr8:128822479-128822649]
Induction/activity_at_TP_12h,USF1_Fimo_hg19_9,seq1196_[chr4:184026378-184026548]
Induction/activity_at_TP_12h,IRX3_Fimo_hg19_7,seq1911_[chr22:26790853-26791023]
Induction/activity_at_TP_12h,NFKB2_Fimo_hg19_2,seq1927_[chr3:64624784-64624954]
Induction/activity_at_TP_12h,PKNOX2_Fimo_hg19_5,seq125_[chr1:178235935-178236105]
Induction/activity_at_TP_12h,OTX2_Fimo_ENCODE_1,controls_seq185_[chr11:31832761-31832931]
Induction/activity_at_TP_12h,HIF1A_Fimo_ENCODE_1,seq1060_[chr3:33619186-33619356]
Induction/activity_at_TP_12h,HIF1A_Fimo_ENCODE_2,seq2234_[chr10:74033439-74033609]
Induction/activity_at_TP_12h,GLI1_Fimo_hg19_11,seq1219_[chr5:14036238-14036408]
Induction/activity_at_TP_12h,TCF12_Fimo_ENCODE_5,seq1400_[chr7:13875076-13875246]
Induction/activity_at_TP_12h,TCF12_Fimo_ENCODE_7,seq155_[chr1:228871123-228871293]
Induction/activity_at_TP_12h,GLI2_Fimo_ENCODE_1,seq2233_[chr10:74032638-74032808]
Induction/activity_at_TP_12h,,seq857_[chr2:58767177-58767347]
Induction/activity_at_TP_12h,,seq1526_[chr8:128822474-128822644]
Induction/activity_at_TP_12h,,seq1769_[chr14:100350343-100350513]
Induction/activity_at_TP_12h,,seq792_[chr19:17246400-17246570]
Induction/activity_at_TP_12h,,controls_seq8_[chr10:102245394-102245564]
Induction/activity_at_TP_12h,,seq1061_[chr3:45726102-45726272]
Induction/activity_at_TP_12h,,seq31_[chr1:20813189-20813359]
Induction/activity_at_TP_12h,,seq2272_[chr2:211627649-211627819]
Induction/activity_at_TP_12h,,seq366_[chr12:33741075-33741245]
Induction/activity_at_TP_12h,,seq1255_[chr5:107008317-107008487]
Induction/activity_at_TP_12h,,seq184_[chr10:51039483-51039653]
Induction/activity_at_TP_12h,,seq2263_[chr17:13542498-13542668]
Induction/activity_at_TP_12h,,seq867_[chr2:70995246-70995416]
Induction/activity_at_TP_12h,,seq2147_[chr9:126763605-126763775]
Induction/activity_at_TP_12h,,seq1430_[chr7:73693981-73694151]
Induction/activity_at_TP_12h,,controls_seq180_[chr9:110252111-110252281]
Induction/activity_at_TP_12h,,seq1542_[chr9:16768932-16769102]
Induction/activity_at_TP_12h,,seq1618_[chrX:130611512-130611682]
Induction/activity_at_TP_12h,,seq865_[chr2:69135637-69135807]
Induction/activity_at_TP_12h,,seq203_[chr10:77842878-77843048]
Induction/activity_at_TP_12h,,seq2228_[chr10:34716436-34716606]
Induction/activity_at_TP_12h,,seq2279_[chr22:36727609-36727779]
Induction/activity_at_TP_12h,,seq1767_[chr14:96494017-96494187]
Induction/activity_at_TP_12h,,seq266_[chr11:20178226-20178396]
Induction/activity_at_TP_12h,,seq2305_[chr9:117068145-117068315]
Induction/activity_at_TP_12h,,seq602_[chr16:6246080-6246250]
Induction/activity_at_TP_12h,,seq1559_[chr9:73035377-73035547]
Induction/activity_at_TP_12h,,seq1516_[chr8:104663261-104663431]
Induction/activity_at_TP_12h,,seq2132_[chr3:181956041-181956211]
Induction/activity_at_TP_12h,,seq1493_[chr8:32987010-32987180]
Induction/activity_at_TP_12h,,seq194_[chr10:69913462-69913632]
Induction/activity_at_TP_12h,,seq1512_[chr8:93107646-93107816]
Induction/activity_at_TP_12h,,seq1163_[chr4:91119425-91119595]
Induction/activity_at_TP_12h,,seq1688_[chr11:13123771-13123941]
Induction/activity_at_TP_12h,,seq1964_[chr5:58295687-58295857]
Induction/activity_at_TP_12h,,seq1049_[chr22:46440726-46440896]
Induction/activity_at_TP_12h,,seq154_[chr1:228110602-228110772]
Induction/activity_at_TP_12h,,controls_seq55_[chr3:147652769-147652939]
Induction/activity_at_TP_12h,,seq1048_[chr22:46241068-46241238]
Induction/activity_at_TP_12h,,seq2297_[chr7:148032155-148032325]
Induction/activity_at_TP_12h,,seq1570_[chr9:94647461-94647631]
Induction/activity_at_TP_12h,,seq1485_[chr7:151167884-151168054]
Induction/activity_at_TP_12h,,seq626_[chr16:52299381-52299551]
Induction/activity_at_TP_12h,,seq2300_[chr8:133412943-133413113]
Induction/activity_at_TP_12h,,seq1385_[chr7:2539826-2539996]
Induction/activity_at_TP_12h,,seq2206_[chr1:40442529-40442699]
Induction/activity_at_TP_12h,,controls_seq75_[chr6:23180868-23181038]
Induction/activity_at_TP_12h,,seq1886_[chr20:10618280-10618450]
Induction/activity_at_TP_12h,,seq183_[chr10:43312452-43312622]
Induction/activity_at_TP_12h,,seq1240_[chr5:72783756-72783926]
Induction/activity_at_TP_12h,,seq51_[chr1:33808005-33808175]
Induction/activity_at_TP_12h,,controls_seq174_[chr6:31126527-31126697]
Induction/activity_at_TP_12h,,seq1556_[chr9:71487184-71487354]
Induction/activity_at_TP_12h,,seq904_[chr2:157487561-157487731]
Induction/activity_at_TP_12h,,seq680_[chr17:42633937-42634107]
Induction/activity_at_TP_12h,,seq776_[chr19:3968792-3968962]
Induction/activity_at_TP_12h,,seq217_[chr10:98105168-98105338]
Induction/activity_at_TP_12h,,seq1501_[chr8:50005334-50005504]
Induction/activity_at_TP_12h,,seq2212_[chr1:59249676-59249846]
Induction/activity_at_TP_12h,,seq2166_[chr9:126773515-126773685]
Induction/activity_at_TP_12h,,seq1193_[chr4:173995523-173995693]
Induction/activity_at_TP_12h,,controls_seq157_[chr9:110857575-110857745]
Induction/activity_at_TP_12h,,seq1191_[chr4:169762284-169762454]
Induction/activity_at_TP_12h,,seq2266_[chr17:74117555-74117725]
Induction/activity_at_TP_12h,,seq317_[chr11:94964592-94964762]
Induction/activity_at_TP_12h,,seq307_[chr11:77184409-77184579]
Induction/activity_at_TP_12h,,seq993_[chr20:44393959-44394129]
Induction/activity_at_TP_12h,,seq1446_[chr7:100743510-100743680]
Induction/activity_at_TP_12h,,controls_seq49_[chr21:34291162-34291332]
Induction/activity_at_TP_12h,,seq1937_[chr3:155432158-155432328]
Induction/activity_at_TP_12h,,seq1571_[chr9:94649070-94649240]
Induction/activity_at_TP_12h,,seq732_[chr18:6752629-6752799]
Induction/activity_at_TP_12h,,seq193_[chr10:69621993-69622163]
Induction/activity_at_TP_12h,,seq450_[chr13:43167231-43167401]
Induction/activity_at_TP_12h,,seq2229_[chr10:74008393-74008563]
Induction/activity_at_TP_12h,,seq63_[chr1:43432875-43433045]
Induction/activity_at_TP_12h,,seq1429_[chr7:73509281-73509451]
Induction/activity_at_TP_12h,,seq2220_[chr1:155804391-155804561]
Induction/activity_at_TP_12h,,seq497_[chr14:68400983-68401153]
Induction/activity_at_TP_12h,,seq2020_[chr8:13214951-13215121]
Induction/activity_at_TP_12h,,seq350_[chr12:8962852-8963022]
Induction/activity_at_TP_24h,FOXB1_Fimo_ENCODE_4,seq1340_[chr6:90193123-90193293]
Induction/activity_at_TP_24h,HHEX_Fimo_hg19_1,seq905_[chr2:161781638-161781808]
Induction/activity_at_TP_24h,POU3F1_Fimo_ENCODE_2,seq161_[chr1:233431342-233431512]
Induction/activity_at_TP_24h,SOX21_Fimo_ENCODE_3,seq297_[chr11:67203946-67204116]
Induction/activity_at_TP_24h,HOMEZ_Fimo_hg19_1,seq2236_[chr10:74114347-74114517]
Induction/activity_at_TP_24h,OTX2_Fimo_ENCODE_1,controls_seq148_[chr9:110235258-110235428]
Induction/activity_at_TP_24h,ZIC3_Fimo_ENCODE_3,seq116_[chr1:160951446-160951616]
Induction/activity_at_TP_24h,IRX3_Fimo_hg19_7,seq842_[chr2:42274000-42274170]
Induction/activity_at_TP_24h,BCL11B_Fimo_hg19_1,seq2159_[chr3:181433881-181434051]
Induction/activity_at_TP_24h,LHX5_Fimo_ENCODE_1,controls_seq162_[chr8:128822479-128822649]
Induction/activity_at_TP_24h,SP8_Fimo_ENCODE_1,seq1196_[chr4:184026378-184026548]
Induction/activity_at_TP_24h,PKNOX2_Fimo_hg19_5,seq180_[chr10:33247228-33247398]
Induction/activity_at_TP_24h,SOX1_Fimo_hg19_3,seq258_[chr11:10373615-10373785]
Induction/activity_at_TP_24h,MEIS2_Fimo_ENCODE_2,controls_seq185_[chr11:31832761-31832931]
Induction/activity_at_TP_24h,SOX9_Fimo_hg19_27,seq1366_[chr6:144651800-144651970]
Induction/activity_at_TP_24h,MEIS3_Fimo_ENCODE_1,seq317_[chr11:94964592-94964762]
Induction/activity_at_TP_24h,SOX2_Fimo_ENCODE_1,seq820_[chr2:8776917-8777087]
Induction/activity_at_TP_24h,SNAI3_Fimo_hg19_1,seq511_[chr14:75745409-75745579]
Induction/activity_at_TP_24h,ZIC2_Fimo_ENCODE_2,seq1219_[chr5:14036238-14036408]
Induction/activity_at_TP_24h,ZIC2_Fimo_ENCODE_1,seq2233_[chr10:74032638-74032808]
Induction/activity_at_TP_24h,SOX10_Fimo_ENCODE_8,seq857_[chr2:58767177-58767347]
Induction/activity_at_TP_24h,TCF12_Fimo_ENCODE_5,seq1526_[chr8:128822474-128822644]
Induction/activity_at_TP_24h,TCF12_Fimo_ENCODE_7,seq1769_[chr14:100350343-100350513]
Induction/activity_at_TP_24h,,seq334_[chr11:121671606-121671776]
Induction/activity_at_TP_24h,,seq1207_[chr5:2751732-2751902]
Induction/activity_at_TP_24h,,seq689_[chr17:47943180-47943350]
Induction/activity_at_TP_24h,,seq1274_[chr5:140381871-140382041]
Induction/activity_at_TP_24h,,seq117_[chr1:160983560-160983730]
Induction/activity_at_TP_24h,,controls_seq110_[chr2:30607896-30608066]
Induction/activity_at_TP_24h,,seq1397_[chr7:12368757-12368927]
Induction/activity_at_TP_24h,,seq1061_[chr3:45726102-45726272]
Induction/activity_at_TP_24h,,seq31_[chr1:20813189-20813359]
Induction/activity_at_TP_24h,,seq1606_[chr9:138232061-138232231]
Induction/activity_at_TP_24h,,seq366_[chr12:33741075-33741245]
Induction/activity_at_TP_24h,,seq215_[chr10:92690066-92690236]
Induction/activity_at_TP_24h,,seq1658_[chr10:17430253-17430423]
Induction/activity_at_TP_24h,,seq1255_[chr5:107008317-107008487]
Induction/activity_at_TP_24h,,seq184_[chr10:51039483-51039653]
Induction/activity_at_TP_24h,,seq2263_[chr17:13542498-13542668]
Induction/activity_at_TP_24h,,seq1623_[chr1:9774468-9774638]
Induction/activity_at_TP_24h,,seq2147_[chr9:126763605-126763775]
Induction/activity_at_TP_24h,,seq865_[chr2:69135637-69135807]
Induction/activity_at_TP_24h,,seq1648_[chr1:101200853-101201023]
Induction/activity_at_TP_24h,,seq2228_[chr10:34716436-34716606]
Induction/activity_at_TP_24h,,seq2279_[chr22:36727609-36727779]
Induction/activity_at_TP_24h,,seq1811_[chr17:6365105-6365275]
Induction/activity_at_TP_24h,,seq1767_[chr14:96494017-96494187]
Induction/activity_at_TP_24h,,seq887_[chr2:121467289-121467459]
Induction/activity_at_TP_24h,,seq266_[chr11:20178226-20178396]
Induction/activity_at_TP_24h,,seq602_[chr16:6246080-6246250]
Induction/activity_at_TP_24h,,seq2132_[chr3:181956041-181956211]
Induction/activity_at_TP_24h,,seq2269_[chr18:74110957-74111127]
Induction/activity_at_TP_24h,,seq1493_[chr8:32987010-32987180]
Induction/activity_at_TP_24h,,seq194_[chr10:69913462-69913632]
Induction/activity_at_TP_24h,,seq493_[chr14:64854653-64854823]
Induction/activity_at_TP_24h,,seq1688_[chr11:13123771-13123941]
Induction/activity_at_TP_24h,,seq1535_[chr8:144120264-144120434]
Induction/activity_at_TP_24h,,seq1964_[chr5:58295687-58295857]
Induction/activity_at_TP_24h,,seq236_[chr10:126158599-126158769]
Induction/activity_at_TP_24h,,seq1049_[chr22:46440726-46440896]
Induction/activity_at_TP_24h,,seq956_[chr2:233916594-233916764]
Induction/activity_at_TP_24h,,seq2126_[chr2:2835494-2835664]
Induction/activity_at_TP_24h,,seq2089_[chr13:112726838-112727008]
Induction/activity_at_TP_24h,,seq580_[chr15:89536311-89536481]
Induction/activity_at_TP_24h,,controls_seq180_[chr9:110252111-110252281]
Induction/activity_at_TP_24h,,seq2297_[chr7:148032155-148032325]
Induction/activity_at_TP_24h,,seq401_[chr12:95945211-95945381]
Induction/activity_at_TP_24h,,seq1485_[chr7:151167884-151168054]
Induction/activity_at_TP_24h,,seq200_[chr10:77161522-77161692]
Induction/activity_at_TP_24h,,seq2300_[chr8:133412943-133413113]
Induction/activity_at_TP_24h,,seq2206_[chr1:40442529-40442699]
Induction/activity_at_TP_24h,,seq469_[chr13:101768198-101768368]
Induction/activity_at_TP_24h,,seq51_[chr1:33808005-33808175]
Induction/activity_at_TP_24h,,seq1498_[chr8:40771792-40771962]
Induction/activity_at_TP_24h,,seq391_[chr12:62500395-62500565]
Induction/activity_at_TP_24h,,seq1142_[chr4:41258753-41258923]
Induction/activity_at_TP_24h,,seq1147_[chr4:56147529-56147699]
Induction/activity_at_TP_24h,,seq776_[chr19:3968792-3968962]
Induction/activity_at_TP_24h,,seq825_[chr2:17721823-17721993]
Induction/activity_at_TP_24h,,seq2212_[chr1:59249676-59249846]
Induction/activity_at_TP_24h,,seq1370_[chr6:154864096-154864266]
Induction/activity_at_TP_24h,,seq1571_[chr9:94649070-94649240]
Induction/activity_at_TP_24h,,seq1193_[chr4:173995523-173995693]
Induction/activity_at_TP_24h,,controls_seq157_[chr9:110857575-110857745]
Induction/activity_at_TP_24h,,seq414_[chr12:110318406-110318576]
Induction/activity_at_TP_24h,,seq1191_[chr4:169762284-169762454]
Induction/activity_at_TP_24h,,seq2266_[chr17:74117555-74117725]
Induction/activity_at_TP_24h,,seq1563_[chr9:75295558-75295728]
Induction/activity_at_TP_24h,,seq677_[chr17:37845417-37845587]
Induction/activity_at_TP_24h,,controls_seq36_[chr18:49573352-49573522]
Induction/activity_at_TP_24h,,seq993_[chr20:44393959-44394129]
Induction/activity_at_TP_24h,,seq1446_[chr7:100743510-100743680]
Induction/activity_at_TP_24h,,seq96_[chr1:113570296-113570466]
Induction/activity_at_TP_24h,,seq1293_[chr5:172983462-172983632]
Induction/activity_at_TP_24h,,seq193_[chr10:69621993-69622163]
Induction/activity_at_TP_24h,,seq398_[chr12:92860238-92860408]
Induction/activity_at_TP_24h,,seq450_[chr13:43167231-43167401]
Induction/activity_at_TP_24h,,seq2237_[chr10:102245397-102245567]
Induction/activity_at_TP_24h,,seq63_[chr1:43432875-43433045]
Induction/activity_at_TP_24h,,seq2264_[chr17:36729216-36729386]
